Name,Price,Rating,Specifications,Link
Wings Phantom 345 Bluetooth Headset,₹999,3.4,"In ear Wireless Earbuds, Bluetooth v5.3, 50 hrs Playback Time, 13mm Driver, Noise Cancellation, 1.5 hrs Charging Time",https://www.mysmartprice.com/audio/wings-phantom-345-bluetooth-headset-msf611604
PTron Bassbuds Revv Bluetooth Earbuds,₹809,3.1,"In ear Wireless Earbuds, Bluetooth v5.3, 28 hrs Playback Time, 13mm Driver, Noise Cancellation, 150 hrs standby time",https://www.mysmartprice.com/audio/ptron-bassbuds-revv-bluetooth-earbuds-msf601274
Boat Immortal 161 Bluetooth Headset,"₹1,699",4.0,"In ear Wireless Earbuds, Bluetooth v5.3, 40 hrs Playback Time, 10mm Driver, Replaceable Earbuds, 1.5 hrs Charging Time",https://www.mysmartprice.com/audio/boat-immortal-161-bluetooth-headset-msf613076
OPPO Enco Buds 2 Bluetooth Headset,"₹1,799",4.3,"In ear Wireless Earbuds, Bluetooth v5.2, 28 hrs Playback Time, 10mm, Dynamic Driver, Noise Cancellation, 1.5 hrs Charging Time",https://www.mysmartprice.com/audio/oppo-enco-buds-2-bluetooth-headset-msf601662
Noise Buds VS102 Bluetooth Headset,"₹1,199",4.0,"In ear Wireless Earbuds, Bluetooth v5.1, 50 hrs Playback Time, 11mm Driver, Replaceable Earbuds, 2 hrs Charging Time",https://www.mysmartprice.com/audio/noise-buds-vs102-bluetooth-headset-msf615153
Wings Phantom 410 Bluetooth Headset,₹899,3.6,"In ear Wireless Earbuds, Bluetooth v5.2, 13mm, Dynamic Driver, Noise Cancellation",https://www.mysmartprice.com/audio/wings-phantom-410-bluetooth-headset-msf601357
Boult Audio AirBass Y1 Bluetooth Headset,₹799,4.1,"In ear Wireless Earbuds, Bluetooth v5.1, 40 hrs Playback Time, Replaceable Earbuds",https://www.mysmartprice.com/audio/boult-audio-airbass-y1-bluetooth-headset-msf602061
Realme Techlife Buds T100 Bluetooth Headset,"₹1,299",4.2,"In ear Wireless Earbuds, Bluetooth v5.2, 28 hrs Playback Time, 10mm, Dynamic Driver, Replaceable Earbuds",https://www.mysmartprice.com/audio/realme-techlife-buds-t100-bluetooth-headset-msf613641
Oneplus Bullets Z2 Bluetooth Headset,"₹1,299",4.1,"In ear Wireless Earbuds, Bluetooth v5.0, 20 hrs Playback Time, 12.4mm Driver, Noise Cancellation",https://www.mysmartprice.com/audio/oneplus-bullets-z2-bluetooth-headset-msf613706
Boat Airdopes Alpha Bluetooth Headset,₹799,3.9,"In ear Wireless Earbuds, Bluetooth v5.3, 35 hrs Playback Time, 13mm Driver, Replaceable Earbuds",https://www.mysmartprice.com/audio/boat-airdopes-alpha-bluetooth-headset-msf612242
Boat Airdopes 131 Pro Bluetooth Headset,"₹1,099",3.9,"In ear Wireless Earbuds, Bluetooth v5.2, 45 hrs Playback Time, 11mm, Dynamic Driver, Noise Cancellation, 30 minute Charging Time",https://www.mysmartprice.com/audio/boat-airdopes-131-pro-bluetooth-headset-msf601754
Boult Audio Airbass Z40 Bluetooth Headset,"₹1,199",4.1,"In ear Wireless Earbuds, Bluetooth v5.2, 60 hrs Playback Time, 10mm, Dynamic Driver, Noise Cancellation, 120 hrs standby time",https://www.mysmartprice.com/audio/boult-audio-airbass-z40-bluetooth-headset-msf601419
Boult Audio Y1 Bluetooth Headset,₹899,4.1,"In ear Wireless Earbuds, Bluetooth v5.3, 50 hrs Playback Time, 10mm Driver, Noise Cancellation",https://www.mysmartprice.com/audio/boult-audio-y1-bluetooth-headset-msf617657
Oneplus Nord Buds Bluetooth Headset,"₹2,299",4.3,"In ear Wireless Earbuds, Bluetooth v5.2, 30 hrs Playback Time, 12.4mm, Dynamic Driver, Noise Cancellation",https://www.mysmartprice.com/audio/oneplus-nord-buds-bluetooth-headset-msf601893
Boat Airdopes 141 ANC Bluetooth Headset,"₹1,098",3.8,"In ear Wireless Earbuds, Bluetooth v5.3, 42 hrs Playback Time, 10mm Driver, Replaceable Earbuds, 80 hrs standby time",https://www.mysmartprice.com/audio/boat-airdopes-141-anc-bluetooth-headset-msf613083
Boat Airdopes 121 V2 Bluetooth Headset,"₹1,299",3.8,"In ear Wireless Earbuds, Bluetooth v5.0, 14 hrs Playback Time, 8mm, Dynamic Driver, Replaceable Earbuds, 3.5  Charging Time",https://www.mysmartprice.com/audio/boat-airdopes-121-v2-bluetooth-headset-msf603037
Realme Buds Q2 Neo Bluetooth Headset,"₹2,499",4.0,"In ear Wireless Earbuds, Bluetooth v5.0, 20 hrs Playback Time, 10mm Driver, Noise Cancellation, 2 hrs Charging Time",https://www.mysmartprice.com/audio/realme-buds-q2-neo-bluetooth-headset-msf612869
Boat Airdopes 121 Bluetooth Headset,"₹1,185",3.8,"In ear Wireless Earbuds, Bluetooth v5.0, Dynamic Driver, Replaceable Earbuds",https://www.mysmartprice.com/audio/boat-airdopes-121-bluetooth-headset-msf603063
Boat Airdopes 121 V2 Plus Bluetooth Headset,"₹1,299",3.8,"In ear Wireless Earbuds, Bluetooth v5.3, 50 hrs Playback Time, 10mm Driver, Replaceable Earbuds",https://www.mysmartprice.com/audio/boat-airdopes-121-v2-plus-bluetooth-headset-msf615558
Boat Airdopes 141 Bluetooth Headset,₹798,3.8,"In ear Wireless Earbuds, Bluetooth v5.0, 8mm, Dynamic Driver, Replaceable Earbuds",https://www.mysmartprice.com/audio/boat-airdopes-141-bluetooth-headset-msf602535
Boat Airdopes 121 Pro Bluetooth Headset,₹899,3.8,"In ear Wireless Earbuds, Bluetooth v5.2, 32 hrs Playback Time, 10mm, Dynamic Driver, Replaceable Earbuds, 2 hrs Charging Time",https://www.mysmartprice.com/audio/boat-airdopes-121-pro-bluetooth-headset-msf601739
Boult Audio K20 Bluetooth Earbuds,₹899,3.9,"In ear Wireless Earbuds, Bluetooth v5.3, 32 hrs Playback Time, 13mm Driver, Noise Isolation, 60 minute Charging Time",https://www.mysmartprice.com/audio/boult-audio-k20-bluetooth-earbuds-msf615661
Realme Buds Air 3 Neo Bluetooth Headset,"₹1,104",4.2,"In ear Wireless Earbuds, Bluetooth v5.2, 30 hrs Playback Time, 10mm, Dynamic Driver, Noise Cancellation, 2 hrs Charging Time",https://www.mysmartprice.com/audio/realme-buds-air-3-neo-bluetooth-headset-msf601725
Apple AirPods Pro Bluetooth Earbuds,"₹24,990",4.5,"In ear Wireless Earbuds, Bluetooth v5.0, 4.5 hrs Playback Time, Dynamic Driver, Noise Cancellation",https://www.mysmartprice.com/audio/apple-airpods-pro-bluetooth-earbuds-msf603461
Boat Immortal 131 Bluetooth Headset,"₹1,699",4.0,"In ear Wireless Earbuds, Bluetooth v5.3, 40 hrs Playback Time, Replaceable Earbuds, 2 hrs Charging Time",https://www.mysmartprice.com/audio/boat-immortal-131-bluetooth-headset-msf601226
Boat Nirvana Ion Bluetooth Headset,"₹1,689",4.1,"In ear Wireless Earbuds, Bluetooth v5.2, 120 hrs Playback Time, 20mm, Dynamic Driver, Replaceable Earbuds, 2.5 hrs Charging Time",https://www.mysmartprice.com/audio/boat-nirvana-ion-bluetooth-headset-msf601229
Oneplus Nord Buds 2R Bluetooth Headset,"₹1,599",4.3,"In ear Wireless Earbuds, Bluetooth v5.3, 20 hrs Playback Time, 12.4mm, Dynamic Driver, Replaceable Earbuds",https://www.mysmartprice.com/audio/oneplus-nord-buds-2r-bluetooth-headset-msf612144
Oneplus Nord Buds 2 Bluetooth Headset,"₹1,899",4.3,"In ear Wireless Earbuds, Bluetooth v5.3, 12.4mm Driver, Replaceable Earbuds",https://www.mysmartprice.com/audio/oneplus-nord-buds-2-bluetooth-headset-msf604443
PTron BassBuds Plus Bluetooth Headset,₹599,3.4,"In ear Wireless Earbuds, Bluetooth v5.0, 12 hrs Playback Time, 8mm, Dynamic Driver, Noise Cancellation, 80 hrs standby time",https://www.mysmartprice.com/audio/ptron-bassbuds-plus-bluetooth-headset-msf602701
PTron Bassbuds Air Bluetooth Headset,₹449,3.4,"In ear Wireless Earbuds, Bluetooth v5.1, 32 hrs Playback Time, Replaceable Earbuds, 1.5 hrs Charging Time",https://www.mysmartprice.com/audio/ptron-bassbuds-air-bluetooth-headset-msf613061
PTron Bassbuds Fute Bluetooth Headset,₹499,3.4,"In ear Wireless Earbuds, Bluetooth v5.1, 25  Playback Time, Call control",https://www.mysmartprice.com/audio/ptron-bassbuds-fute-bluetooth-headset-msf601392
