Name,Price,Rating,Specifications,Link,Brand,Model,Title,Warranty,Box Contents,Type,Design,Open or closed back,Fit,Impedance,Max frequency response,Min frequency response,Eartip size,Weight,Colours,Dimensions,Noise cancellation,Replaceable earbuds,Call control,Music control,Connectivity,Bluetooth version,Range,Bluetooth features,Microphone,Playback time,Charging type,Charging time,Compatible Models,Sensitivity,Foldable Design,Battery type,Battery capacity,Standby time,Colour(s),Driver Size,Connector,Driver type,Bluetooth audio codec,Bluetooth profile,Magnet Material,Noise isolation,Series,LED headphones,Max power input,Tangle free,Noise reduction,Cord Material,Plug type,Cable length,Cord type,Driver Material,Headphone housing type,Mic frequency,Other control,Mic type,Echo reduction,Detachable cable,Multidriver,Carrying Case Type
Wings Phantom 345 Bluetooth Headset,₹999,3.4,"In ear Wireless Earbuds, Bluetooth v5.3, 50 hrs Playback Time, 13mm Driver, Noise Cancellation, 1.5 hrs Charging Time",https://www.mysmartprice.com/audio/wings-phantom-345-bluetooth-headset-msf611604,Wings,Phantom 345,Wings Phantom 345,1 Year,"1 Pair of Earbuds, User Manual, Charging Case, Charging Cable",Wireless,In ear canalphone,Closed Back,In the Ear,32 Ohms,20000 Hz,20 Hz,"Large, Medium, Small",35 gm,"Black, White",Overall :54 x 42 x 28 mm,Yes,Yes,Answer / End,Volume Control,Bluetooth,5.3,10 meter,Auto Pairing,Yes,50 Hours,USB Type-C,1.5 Hours,"Mobile Phone, PC, Tablet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTron Bassbuds Revv Bluetooth Earbuds,₹809,3.1,"In ear Wireless Earbuds, Bluetooth v5.3, 28 hrs Playback Time, 13mm Driver, Noise Cancellation, 150 hrs standby time",https://www.mysmartprice.com/audio/ptron-bassbuds-revv-bluetooth-earbuds-msf601274,PTron,Bassbuds Revv,PTron Bassbuds Revv,1 Year,"1 earbud , user manual ,warranty card",Wireless,In ear,Closed Back,In the Ear,32 Ohms,15000 Hz,18 Hz,Medium,,Black,Overall :23 x 48 x 52 mm,Yes,,Answer / End,Volume Control,Bluetooth,5.3,10 meter,Auto Pairing,Yes,28 Hours,USB,1.5 Hours,"Mobile Phone, PC, Tablet",110 dB/mw,Yes,Li-Polymer,250 mAh,150 Hours,,,,,,,,,,,,,,,,,,,,,,,,,,
Boat Immortal 161 Bluetooth Headset,"₹1,699",4.0,"In ear Wireless Earbuds, Bluetooth v5.3, 40 hrs Playback Time, 10mm Driver, Replaceable Earbuds, 1.5 hrs Charging Time",https://www.mysmartprice.com/audio/boat-immortal-161-bluetooth-headset-msf613076,Boat,Airdopes Immortal 161,Boat Immortal 161,1 Year,"1 Pair of Earbuds, User Manual, Product Catalog, Warranty Card, Type-C Charging Cable",Wireless,In ear canalphone,Closed Back,In the Ear,,20000 Hz,20 Hz,"Large, Medium, Small",,,,,Yes,,,,5.3,10 meter,Auto Pairing,Yes,40 Hours,USB Type-C,1.5 Hours,"Mobile Phone, PC, Tablet",,,Li-ion,400 mAh,,"White Sabre, Black Sabre",10 mm,Bluetooth,,,,,,,,,,,,,,,,,,,,,,,
OPPO Enco Buds 2 Bluetooth Headset,"₹1,799",4.3,"In ear Wireless Earbuds, Bluetooth v5.2, 28 hrs Playback Time, 10mm, Dynamic Driver, Noise Cancellation, 1.5 hrs Charging Time",https://www.mysmartprice.com/audio/oppo-enco-buds-2-bluetooth-headset-msf601662,OPPO,Enco Buds 2,Oppo Enco Buds 2,1 Year,"1 Pair of Earbud with Charging Case, Earbud Tips, User Manual",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",,Black,,Yes,Yes,Answer / End,Volume Control,Bluetooth,5.2,10 meter,Auto Pairing,Yes,28 Hours,USB Type-C,1.5 Hours,"Mobile Phone, PC, Tablet",,Yes,,,,,,,Dynamic Driver,,,,,,,,,,,,,,,,,,,,,,
Noise Buds VS102 Bluetooth Headset,"₹1,199",4.0,"In ear Wireless Earbuds, Bluetooth v5.1, 50 hrs Playback Time, 11mm Driver, Replaceable Earbuds, 2 hrs Charging Time",https://www.mysmartprice.com/audio/noise-buds-vs102-bluetooth-headset-msf615153,Noise,Buds VS102,Noise Buds VS102,1 Year,"1N Bluetooth Headphone, 1N Charging Case, 1N Charging Cable, 1N User Manual, 1N Warranty Registration Card",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",38 gm,,Carrying case :25 x 60 x 43 mm,,Yes,Answer / End,Volume Control,,5.1,10 meter,Auto Pairing,Yes,50 Hours,USB Type-C,2 Hours,"Mobile Phone, PC, Tablet",,,Li-ion,,,"Jet Black, Celeste Blue, Midnight Blue, Pearl White",11 mm,Bluetooth,,,,,,,,,,,,,,,,,,,,,,,
Wings Phantom 410 Bluetooth Headset,₹899,3.6,"In ear Wireless Earbuds, Bluetooth v5.2, 13mm, Dynamic Driver, Noise Cancellation",https://www.mysmartprice.com/audio/wings-phantom-410-bluetooth-headset-msf601357,Wings,Phantom 410,Wings Phantom 410,,"Cable, Ear Cushions, Earbuds, Wireless Charging Case User Manual",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",150 gm,Blue,Overall :40 x 100 x 100 mm,Yes,Yes,Answer /End,Volume Control,Bluetooth,5.2,10 meter,Auto Pairing,Yes,,USB,,"Mobile Phone, PC, Tablet",,Yes,Li-ion,,,,,,Dynamic Driver,,,,,,,,,,,,,,,,,,,,,,
Boult Audio AirBass Y1 Bluetooth Headset,₹799,4.1,"In ear Wireless Earbuds, Bluetooth v5.1, 40 hrs Playback Time, Replaceable Earbuds",https://www.mysmartprice.com/audio/boult-audio-airbass-y1-bluetooth-headset-msf602061,Boult Audio,AirBass Y1,Boult Audio AirBass Y1,1 Year,"Earbuds, USB Cable Type C, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",,"Black, White",,,Yes,Answer / End,Volume Control,Bluetooth,5.1,10 meter,,Yes,40 Hours,USB Type-C,,"Mobile Phone, PC, Tablet",,,Li-ion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Realme Techlife Buds T100 Bluetooth Headset,"₹1,299",4.2,"In ear Wireless Earbuds, Bluetooth v5.2, 28 hrs Playback Time, 10mm, Dynamic Driver, Replaceable Earbuds",https://www.mysmartprice.com/audio/realme-techlife-buds-t100-bluetooth-headset-msf613641,realme,Techlife Buds T100,Realme Buds T100,1 Year,"1 Pair of Earbuds with Charging Case, Charging Cable, Eartips, User Guide",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",34 gm,,Overall :61.16 x 48.29 x 28.16 mm,,Yes,Answer / End,Volume Control,,5.2,10 meter,Auto Pairing,Yes,28 Hours,,,"Mobile Phone, PC, Tablet",,Yes,,480 mAh,,"Black, White",10 mm,Bluetooth,Dynamic Driver,A2DP  AVRCP  HFP,,,,,,,,,,,,,,,,,,,,,
Oneplus Bullets Z2 Bluetooth Headset,"₹1,299",4.1,"In ear Wireless Earbuds, Bluetooth v5.0, 20 hrs Playback Time, 12.4mm Driver, Noise Cancellation",https://www.mysmartprice.com/audio/oneplus-bullets-z2-bluetooth-headset-msf613706,OnePlus,Bullets Z2,OnePlus Bullets Z2,1 Year,"1 U Earphone, Charging Cable, Additional Earplugs, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,Behind the neck,,,,"Large, Medium, Small",27 gm,,Overall :13 x 124 x 175 mm,Yes,Yes,Answer / End,Volume Control,,5.0,10 meter,Auto Pairing,Yes,20 Hours,,,"Mobile Phone, PC, Tablet",,Yes,Li-ion,,,"Black, Blue, Red",12.4 mm,Bluetooth,,,,,,,,,,,,,,,,,,,,,,,
Boat Airdopes Alpha Bluetooth Headset,₹799,3.9,"In ear Wireless Earbuds, Bluetooth v5.3, 35 hrs Playback Time, 13mm Driver, Replaceable Earbuds",https://www.mysmartprice.com/audio/boat-airdopes-alpha-bluetooth-headset-msf612242,Boat,Airdopes Alpha,Boat Airdopes Alpha,1 Year,"1 Pair of Earbuds with Charging Case, User Manual, Product Catalog, Warranty Card, Charging Cable",Wireless,In ear canalphone,Closed Back,In the Ear,,20000 Hz,20 Hz,"Large, Medium, Small",,,,,Yes,Answer / End,Volume Control,,5.3,10 meter,Auto Pairing,Yes,35 Hours,USB Type-C,,"Mobile Phone, PC, Tablet",,,,300 mAh,,"Jet Black, Swedish White, Dark Cyan",13 mm,Bluetooth,,,,,,,,,,,,,,,,,,,,,,,
Boat Airdopes 131 Pro Bluetooth Headset,"₹1,099",3.9,"In ear Wireless Earbuds, Bluetooth v5.2, 45 hrs Playback Time, 11mm, Dynamic Driver, Noise Cancellation, 30 minute Charging Time",https://www.mysmartprice.com/audio/boat-airdopes-131-pro-bluetooth-headset-msf601754,Boat,Airdopes 131 Pro,Boat Airdopes 131 Pro,1 Year,"1 Pair of Earbuds with Charging Case, Additional Earbuds, Charging Cable, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,20000 Hz,20 Hz,"Large, Medium, Small",,", Active Black, Mint Cascade, Royal Blue",,Yes,Yes,Answer / End,Volume Control,Bluetooth,5.2,10 meter,Auto Pairing,Yes,45 Hours,USB Type-C,30 Minute,"Mobile Phone, PC, Tablet",,,,400 mAh,,,,,Dynamic Driver,,A2DP  AVRCP  HFP,,,,,,,,,,,,,,,,,,,,
Boult Audio Airbass Z40 Bluetooth Headset,"₹1,199",4.1,"In ear Wireless Earbuds, Bluetooth v5.2, 60 hrs Playback Time, 10mm, Dynamic Driver, Noise Cancellation, 120 hrs standby time",https://www.mysmartprice.com/audio/boult-audio-airbass-z40-bluetooth-headset-msf601419,Boult Audio,Airbass Z40,Boult Audio Airbass Z40,1 Year,"Earbuds with Charging Case, Extra Pair of Eartips, Charging Cable, User Manual, Warranty Card",Wireless,In ear canalphone,,,,,,"Large, Medium, Small",60 gm,"Blue, Brown, White",Overall :50.1 x 56.2 x 285 mm,Yes,,,,Bluetooth,5.2,10 meter,Auto Pairing,Yes,60 Hours,,,"Mobile Phone, PC, Tablet",,Yes,Li-Polymer,,120 Hours,,,,Dynamic Driver,,A2DP  AVRCP  HFP  HSP,,,,,,,,,,,,,,,,,,,,
Boult Audio Y1 Bluetooth Headset,₹899,4.1,"In ear Wireless Earbuds, Bluetooth v5.3, 50 hrs Playback Time, 10mm Driver, Noise Cancellation",https://www.mysmartprice.com/audio/boult-audio-y1-bluetooth-headset-msf617657,Boult Audio,Y1,Boult Audio Y1,1 Years,"Earbuds, Charging Case, USB Cable Type C, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",,,,Yes,,Answer / End,Volume Control,,5.3,10 meter,Auto Pairing,Yes,50 Hours,USB Type-C,,"Mobile Phone, PC, Tablet",,,Li-ion,,,"Black, Green, White",10 mm,Bluetooth,,A2DP  AVRCP  HFP  HSP,,,,,,,,,,,,,,,,,,,,,
Oneplus Nord Buds Bluetooth Headset,"₹2,299",4.3,"In ear Wireless Earbuds, Bluetooth v5.2, 30 hrs Playback Time, 12.4mm, Dynamic Driver, Noise Cancellation",https://www.mysmartprice.com/audio/oneplus-nord-buds-bluetooth-headset-msf601893,OnePlus,Nord Buds,OnePlus Nord Buds,1 Year,"Earbuds, Charging Case, USB Cable Type C, Eartips, User Manual, Warranty Card",Wireless,In ear canalphone,Closed Back,In the Ear,,20000 Hz,20 Hz,"Large, Medium, Small",46 gm,", Black Slate, White Marble",Eartips :27.76 x 20.72 x 23.49 mm  Carrying case :67.9 x 35.5 x 28.68 mm,Yes,Yes,Answer / End,Volume Control,Bluetooth,5.2,10 meter,Auto Pairing,Yes,30 Hours,USB Type-C,,"Mobile Phone, PC, Tablet",102 dB/mw,Yes,,480 mAh,,,,,Dynamic Driver,,,,,,,,,,,,,,,,,,,,,,
Boat Airdopes 141 ANC Bluetooth Headset,"₹1,098",3.8,"In ear Wireless Earbuds, Bluetooth v5.3, 42 hrs Playback Time, 10mm Driver, Replaceable Earbuds, 80 hrs standby time",https://www.mysmartprice.com/audio/boat-airdopes-141-anc-bluetooth-headset-msf613083,Boat,Airdopes 141 ANC,Boat Airdopes 141 ANC,1 Year,"Earbuds, Charging Case, User Manual, Warranty card",Wireless,In ear canalphone,Closed Back,In the Ear,,20000 Hz,20 Hz,"Large, Medium, Small",,,,", Active Noise Cancellation",Yes,Answer / End,Volume Control,,5.3,10 meter,Auto Pairing,Yes,42 Hours,USB Type-C,1.5 Hours,"Mobile Phone, PC, Tablet",,,Li-ion,,80 Hours,"Black, Green, White",10 mm,Bluetooth,,,,,,,,,,,,,,,,,,,,,,,
Boat Airdopes 121 V2 Bluetooth Headset,"₹1,299",3.8,"In ear Wireless Earbuds, Bluetooth v5.0, 14 hrs Playback Time, 8mm, Dynamic Driver, Replaceable Earbuds, 3.5  Charging Time",https://www.mysmartprice.com/audio/boat-airdopes-121-v2-bluetooth-headset-msf603037,Boat,Airdopes 121 V2,Boat Airdopes 121 V2,1 Year,"Earbud, USB Cable, User Manual, Warranty Card",Wireless,In ear canalphone,,In the Ear,,20000 Hz,20 Hz,"Large, Medium, Small",36 gm,,,,Yes,Answer/End,Play/Pause,,5.0,10 meter,Auto Pairing,Yes,14 Hours,USB,3.5,"Media player, Mobile Phone, PC, Tablet",,,,380 mAh,,"Active Black, Cherry Blossom, Midnight Blue",8 mm,Bluetooth,Dynamic Driver,A2DP  AVRCP  EDR  HFP  HSP,,,,,,,,,,,,,,,,,,,,,
Realme Buds Q2 Neo Bluetooth Headset,"₹2,499",4.0,"In ear Wireless Earbuds, Bluetooth v5.0, 20 hrs Playback Time, 10mm Driver, Noise Cancellation, 2 hrs Charging Time",https://www.mysmartprice.com/audio/realme-buds-q2-neo-bluetooth-headset-msf612869,realme,Buds Q2 Neo,Realme Buds Q2 Neo,1 Year,"1 Pair of Earbuds, User Guide, Charging Case, Charging Cable, Eartips S 2N, Eartips M 2N, Eartips L 2N",Wireless,In ear canalphone,Closed Back,In the Ear,,,,"Large, Medium, Small",38 gm,,Overall :44.61 x 60.36 x 32.55 mm,Yes,Yes,Answer / End,Volume Control,,5.0,10 meter,Auto Pairing,Yes,20 Hours,,2 Hours,"Mobile Phone, PC, Tablet",,Yes,Li-ion,480 mAh,,Black,10 mm,Bluetooth,,A2DP  AVRCP,,,,,,,,,,,,,,,,,,,,,
